18,2,Donald X.,1930,The Clouds Will Soon Roll By,Burt Ambrose & his Orchestra / Elsie Carlisle,https://www.youtube.com/watch?v=OhWwnOv9VOg,
19,2,jsh,1930,Last Kind Words Blues,Geeshie Wiley,https://youtu.be/oAKfy2W70Qg,
20,2,Lemonspawn,1930,Tumbling Tumbleweed,Sons of the Pioneers,https://youtu.be/BjaKvqo0wvw,
21,2,markusin,1930,La Cucaracha,Lud Gluskin And His Continental Orchestra,https://www.youtube.com/watch?v=o5EofYZ8Ytc,
22,2,markusin,1930,Granada,Agustín Lara,https://www.youtube.com/watch?v=J604P28YyhA,
23,2,Mollo8,1930,Vengan Turistas,Francisco Gabilondo Soler,https://youtu.be/0XytOO-YNlY,
24,2,Sharur,1930,(I'll Be Glad When You're Dead) You Rascal You,Louis Armstrong,https://youtu.be/PgiJ0OS9LwU,
25,2,strumphf,1930,Rhapsody on a Theme of Paganini,Sergei Rachmaninoff,https://www.youtube.com/watch?v=Js8GKC1Izzc,
26,2,volfied,1930,As Time Goes By,Rudy Vallee,https://www.youtube.com/watch?v=PZVx3C1qhLk,
27,2,wharf_rat,1930,There'll Be No Distinction There,Blind Alfred Reed and Arville Reed,https://www.youtube.com/watch?v=qCEYVgDFA_A,
28,2,wharf_rat,1930,I'll Roll In My Sweet Baby's Arms,Buster Carter And Preston Young,https://www.youtube.com/watch?v=E08AtUzgLxQ,
29,2,xyrix,1930,"Lady Macbeth of Mtsensk District, Act 2, Interlude",Dmitri Shostakovich,https://www.youtube.com/watch?v=Q2Nnw1wsuZk,
30,3,alatar224,1930,Willow Weep for Me,"Paul Whiteman and His Orchestra, Irene Taylor",https://www.youtube.com/watch?v=sYtmBUpfEHE,
31,3,Donald X.,1930,The Old Man of the Mountain,The Mills Brothers,https://www.youtube.com/watch?v=C77XGrjrIFw,
32,3,jsh,1930,Gimme a Pigfoot,Bessie Smith,https://youtu.be/hbQEapPrjGM,
33,3,Lemonspawn,1930,The Last Round Up,George Olsen,https://youtu.be/A828KJT31h4,
34,3,markusin,1930,Spring Is Here Again,Marion Harris,https://www.youtube.com/watch?v=16Vj7OH6lnI,
35,3,Mollo8,1930,Homenaje a Tárrega,Manuel M. Ponce,https://youtu.be/M3wTe7p2DT8,
36,3,Sharur,1930,Devil Got My Woman,Skip James,https://youtu.be/MXEno41Wdio,
37,3,strumphf,1930,Piano Concerto in G,Maurice Ravel,https://www.youtube.com/watch?v=cJOW5mlhH_Y&t=149s,
38,3,volfied,1930,Mood Indigo,Duke Ellington,https://www.youtube.com/watch?v=bZyVBVFnrm4,
39,3,wharf_rat,1930,Called To the Foreign Field,Alfred G. Karnes,https://www.youtube.com/watch?v=Jh4Y-VqOq-0,
40,4,alatar224,1930,Ionisation,Edgard Varèse,https://www.youtube.com/watch?v=WqjK0Pm8-6g,
41,4,Donald X.,1930,It's the Girl,The Boswell Sisters,https://www.youtube.com/watch?v=VdUaNDh7IwQ,
42,4,Lemonspawn,1930,I've Told Ev'ry Little Star,Jack Denny & His Orchestra,https://youtu.be/HQaolV456Cw,
43,4,markusin,1930,Between The Devil And The Deep Blue Sea,Cab Calloway and His Orchestra,https://www.youtube.com/watch?v=8QI0EDNwGwY,
44,4,Mollo8,1930,Janitzio,Silvestre Revueltas,https://youtu.be/94nbSd9XXbg,
45,4,Sharur,1930,Everybody Loves My Baby,The Boswell Sisters,https://youtu.be/wdbrQ2kqAog,
46,4,strumphf,1930,Im Gefängnis zu singen,Hanns Eisler,https://www.youtube.com/watch?v=BlHKuRwhqlc,
47,4,volfied,1930,Dream a Little Dream of Me,Ozzie Nelson,https://www.youtube.com/watch?v=ry3G_JpxDco,
48,4,xyrix,1930,"Arabella, Aber der Richtige, wenn's einen gibt",Richard Strauss,https://www.youtube.com/watch?v=R6asdR4UaJM,
49,5,alatar224,1930,Esti Párbeszéd [Evening Conversation],László Lajtha,https://www.youtube.com/watch?v=NrcnprVAu18,
50,5,Donald X.,1930,Alabama Song,Lotte Leyna & the Three Admirals,https://www.youtube.com/watch?v=EGUjGPrfA6U,
51,5,jsh,1930,I'm Gonna Sit Right Down and Write Myself a Letter,Fats Waller,https://youtu.be/8ZZRAU3DeOo,
52,5,Lemonspawn,1930,Wabash Cannonball,The Carter Family,https://youtu.be/G_vQ1nOO87U,
53,5,markusin,1930,Doin’ The Uptown Lowdown (vocals Joe Martin),Isham Jones Orchestra,https://www.youtube.com/watch?v=wsykRA8FcMs,
54,5,Mollo8,1930,Cantos de México,Carlos Chávez,https://youtu.be/0mTVnZRhvwY,
55,5,Sharur,1930,Razor Ball,Blind Willie McTell,https://youtu.be/qsog_o6AhUM,
56,5,Sharur,1930,Jesus Gonna Make Up My Dying Bed,Josh White,https://youtu.be/f5APpv7SOhM,
57,5,strumphf,1930,Hungarian Sketches: No. 1 An Evening in the Village,Béla Bartók,https://www.youtube.com/watch?v=LrzjqfxHpo0,
58,5,volfied,1930,Blue Moon,Muzzy Marcelino,https://www.youtube.com/watch?v=IQEQ8hr7lG0,
59,5,wharf_rat,1930,All of Me,Louis Armstrong & His Orchestra,https://www.youtube.com/watch?v=55Moa8fGC7w,
60,5,xyrix,1930,Hummin' To Myself,Washboard Rhythm Kings,https://www.youtube.com/watch?v=dsVrsaj13qs,
61,6,alatar224,1930,Teddy Bears' Picnic,Henry Hall and the B.B.C. Dance Orchestra,https://www.youtube.com/watch?v=Ko1snJwWAio,
62,6,Donald X.,1930,I Get a Kick Out of You,Ethel Merman,https://www.youtube.com/watch?v=Wkbcz3tebXE,
63,6,jsh,1930,Lazy River,Louis Armstrong,https://youtu.be/cJBAmeowNeU,
64,6,Lemonspawn,1930,The Beat of My Heart,"Ben Pollack (Doris Robbins, vocal)",https://youtu.be/tXuMSb0g-PE,
65,6,markusin,1930,I'm Dancing On A Rainbow,Don Bestor & His Orchestra,https://www.youtube.com/watch?v=EHtOo-LWLPI,
66,6,Mollo8,1930,Caminos,Silvestre Revueltas,https://youtu.be/ypahJhoXLV4,
67,6,strumphf,1930,Second Rhapsody,George Gershwin,https://www.youtube.com/watch?v=HiZJwGPGqPI,
68,6,wharf_rat,1930,Stormy Weather,Ethel Waters,https://www.youtube.com/watch?v=mUkqLnaH5DQ,
69,6,xyrix,1930,Tico-Tico No Fubá,Orquestra Colbaz,https://www.youtube.com/watch?v=HcaX4kzzye8,
